berief_content,category,content,create_date,title
"Ngân hàng TMCP Ngoại thương Việt Nam
        (VCB : HOSE)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:03 CH,
                ,
                ,
                    ,86,30, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,+0,30, ,
                        (,+0,35%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,86,00,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,86,00,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,86,50,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,85,20,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,543.910,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    1.024.673,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    95,00,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    56,60,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:03 CH,"Ngân hàng TMCP Ngoại thương Việt Nam
        (VCB : HOSE)"
"Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam
        (EIB : HOSE)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:03 CH,
                ,
                ,
                    ,17,30, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,0,00, ,
                        (,0,00%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,17,30,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,17,05,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,17,40,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,17,00,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,324.550,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    356.354,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    18,95,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    14,00,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:03 CH,"Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam
        (EIB : HOSE)"
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
        (HDB : HOSE)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:03 CH,
                ,
                ,
                    ,24,20, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,-0,35, ,
                        (,-1,43%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,24,55,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,24,50,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,24,50,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,24,05,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,1.997.720,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    1.807.509,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    32,00,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    16,10,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:03 CH,"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh
        (HDB : HOSE)"
"Ngân hàng TMCP Quân Đội
        (MBB : HOSE)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:03 CH,
                ,
                ,
                    ,17,75, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,-0,15, ,
                        (,-0,84%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,17,90,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,17,75,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,17,95,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,17,60,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,4.856.600,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    8.116.316,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    23,90,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    13,15,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:03 CH,"Ngân hàng TMCP Quân Đội
        (MBB : HOSE)"
"Ngân hàng TMCP Á Châu
        (ACB : HNX)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:04 CH,
                ,
                ,
                    ,24,20, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,-0,20, ,
                        (,-0,82%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,24,40,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,24,40,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,24,50,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,23,90,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,9.696.300,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    10.994.550,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    27,10,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    16,10,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:04 CH,"Ngân hàng TMCP Á Châu
        (ACB : HNX)"
"Ngân hàng TMCP Việt Nam Thịnh Vượng
        (VPB : HOSE)",Banking group,"
        ,
        ,
        ,
            ,
                ,
                    Cập nhật ngày 28/10/2020,
                ,
                    ,1:45:03 CH,
                ,
                ,
                    ,23,95, ,x
                                            1000 VND,
            ,
        ,
        ,
            ,
                ,Thay đổi (%),
                ,
                ,
                ,
                    ,-0,40, ,
                        (,-1,64%,),
            ,
        ,
        ,
            ,
                ,
                    Tham chiếu,
                ,
                    ,24,35,
            ,
            ,
                ,
                    Mở cửa,
                ,
                    ,24,20,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất,
                ,
                    ,24,45,
            ,
            ,
                ,
                    Thấp nhất,
                ,
                    ,23,55,
            ,
        ,
        ,
            ,
                ,
                    Khối lượng,
                ,
                    ,7.936.007,
            ,
            ,
                ,
                    KLTB 10 ngày,
                ,
                    9.785.933,
            ,
        ,
        ,
            ,
                ,
                    Cao nhất 52 tuần,
                ,
                    29,30,
            ,
            ,
                ,
                    Thấp nhất 52 tuần,
                ,
                    16,00,
            ,
        ,
    ",Cập nhật ngày 28/10/2020 1:45:03 CH,"Ngân hàng TMCP Việt Nam Thịnh Vượng
        (VPB : HOSE)"
